Wall time,Step,Value
1585070040.1857302,5670,0.002142480807378888
1585071271.0659466,12042,0.05820732191205025
1585071907.4591782,12094,0.01088993065059185
1585072499.2760255,12095,0.01060684584081173
1585073111.7021456,12181,0.01984536647796631
1585073761.0106285,12182,0.013622078113257885
1585074363.0986505,12183,0.01081762183457613
1585077610.4300933,17760,0.12520252168178558
1585078255.2693524,17761,0.1276169866323471
1585078899.1205473,17762,0.12886948883533478
1585079550.9049077,17763,0.1293567270040512
1585080202.369267,17764,0.12543511390686035
1585080854.663771,17765,0.12696965038776398
1585081508.1206412,17766,0.12829658389091492
1585083503.0700946,23489,0.3308192491531372
1585084182.9913068,23490,0.3240445554256439
1585084905.3935468,23491,0.3207743167877197
1585085625.332324,23492,0.32710668444633484
1585086310.3753057,23493,0.33642324805259705
1585087041.4868872,23494,0.33966177701950073
1585087757.6932266,23495,0.3387605547904968
1585089964.96195,29164,0.24961316585540771
1585090704.7364547,29165,0.24366962909698486
1585091407.2796717,29166,0.2409740835428238
1585092147.6796854,29167,0.23947946727275848
1585092844.320436,29168,0.2457052618265152
1585095379.0936027,34905,0.43756189942359924
1585096113.7867706,34906,0.4278895854949951
1585096855.5654204,34907,0.424718976020813
1585097577.3074427,34908,0.4358764588832855
1585098294.7991166,34909,0.4473241865634918
1585099014.7488778,34910,0.45752638578414917
1585099751.570774,34911,0.4701845943927765
1585100511.1617312,34912,0.48457589745521545
1585101240.775279,34913,0.48947831988334656
1585136230.7125735,40623,0.3805193305015564
1585136951.9055898,40624,0.37479549646377563
1585137698.3728514,40625,0.3694702386856079
1585138420.0743241,40626,0.36408865451812744
1585139146.096989,40627,0.3580440878868103
1585141241.4516294,46169,0.6987923383712769
1585142123.537077,46170,0.6826531887054443
1585142953.534896,46171,0.6823641061782837
1585143803.1750476,46172,0.69793701171875
1585146398.4769742,51824,0.749436616897583
1585147288.8596094,51825,0.7435797452926636
1585148143.893145,51826,0.7464864253997803
1585149022.0298204,51827,0.7462436556816101
1585149854.3454804,51828,0.7468785047531128
1585150687.1057675,51829,0.75310218334198
1585151523.7323604,51830,0.7542886734008789
1585154064.736893,57530,0.73410564661026
1585154879.4394257,57531,0.7349048852920532
1585155729.299908,57532,0.7436485290527344
1585156550.4963236,57533,0.7480162382125854
1585157397.0947115,57534,0.7514393925666809
1585158258.4201865,57535,0.7539781332015991
1585163834.561714,59671,0.829559862613678
1585164677.113348,59672,0.8303219079971313
1585165512.047012,59673,0.8312027454376221
1585166369.5637367,59674,0.8319392204284668
1585167203.2337945,59675,0.8341253995895386
1585168038.7694397,59676,0.834457278251648
1585168906.9282384,59677,0.8290155529975891
1585354416.2489507,61309,0.8223167657852173
1585355284.464663,61310,0.825107991695404
1585356131.2175395,61311,0.8254883289337158
1585356971.7522967,61312,0.8231207132339478
1585357784.5323496,61313,0.8210746049880981
1585358602.7734349,61314,0.8232531547546387
1585359441.4401839,61315,0.8301997184753418
1585360309.844317,61316,0.8310976624488831
1585361150.8039045,61317,0.8284499645233154
1585361959.9632072,61318,0.8307076096534729
1585400807.5889301,62806,0.8309183716773987
1585402392.5291412,64160,0.8243011832237244
1585403217.0621867,64161,0.8271349668502808
1585404063.0229342,64162,0.8304053544998169
1585426440.0263078,67381,0.8260107040405273
1585427324.9202669,67382,0.8288339972496033
1585429731.5210416,68996,0.8238797783851624
1585430663.4842734,68997,0.8246365785598755
1585431575.8716738,68998,0.8242024779319763
1585433981.7932947,70624,0.8206109404563904
1585434897.025024,70625,0.8216039538383484
1585435781.363414,70626,0.8241767883300781
1585436704.3317885,70627,0.8268450498580933
